Date,Customer,Job #_y,Item_y,AQL Shift,Inspection Station (Gluer),Total Pieces,Defect Code,Defect Description,Defective Samples,Total Samples,Total Estimated Defective,Department of Origin,Machine of Origin
,,401709,1811.0,,,,,,,,0.0,,
,,402076,1811.0,,,,,,,,0.0,,
,,402077,1811.0,,,,,,,,0.0,,
,,410292,1811.0,,,,,,,,0.0,,
,,411221,1811.0,,,,,,,,0.0,,
,,411222,1811.0,,,,,,,,0.0,,
,,411562,1811.0,,,,,,,,0.0,,
,,411563,1811.0,,,,,,,,0.0,,
,,411564,1811.0,,,,,,,,0.0,,
,,411565,1811.0,,,,,,,,0.0,,
,,412431,1811.0,,,,,,,,0.0,,
,,412570,1811.0,,,,,,,,0.0,,
,,420717,1811.0,,,,,,,,0.0,,
,,420955,1811.0,,,,,,,,0.0,,
,,421105,1811.0,,,,,,,,0.0,,
,,421444,1811.0,,,,,,,,0.0,,
,,401177,1812.0,,,,,,,,0.0,,
,,401708,1812.0,,,,,,,,0.0,,
,,401709,1812.0,,,,,,,,0.0,,
,,402076,1812.0,,,,,,,,0.0,,
,,402077,1812.0,,,,,,,,0.0,,
,,410292,1812.0,,,,,,,,0.0,,
,,411221,1812.0,,,,,,,,0.0,,
,,411222,1812.0,,,,,,,,0.0,,
,,411562,1812.0,,,,,,,,0.0,,
,,411563,1812.0,,,,,,,,0.0,,
,,411564,1812.0,,,,,,,,0.0,,
,,411565,1812.0,,,,,,,,0.0,,
,,412431,1812.0,,,,,,,,0.0,,
,,412570,1812.0,,,,,,,,0.0,,
,,420717,1812.0,,,,,,,,0.0,,
,,420955,1812.0,,,,,,,,0.0,,
,,421105,1812.0,,,,,,,,0.0,,
,,421444,1812.0,,,,,,,,0.0,,
,,401409,1854.0,,,,,,,,0.0,,
,,401924,1854.0,,,,,,,,0.0,,
,,401975,1854.0,,,,,,,,0.0,,
,,401409,1855.0,,,,,,,,0.0,,
,,401150,1857.0,,,,,,,,0.0,,
,,401503,1957.0,,,,,,,,0.0,,
,,401707,1957.0,,,,,,,,0.0,,
,,401940,1957.0,,,,,,,,0.0,,
,,401256,1959.0,,,,,,,,0.0,,
,,401041,1968.0,,,,,,,,0.0,,
,,402148,1968.0,,,,,,,,0.0,,
,,410099,1968.0,,,,,,,,0.0,,
,,410969,1968.0,,,,,,,,0.0,,
,,411471,1968.0,,,,,,,,0.0,,
,,420573,1968.0,,,,,,,,0.0,,
,,421316,1968.0,,,,,,,,0.0,,
,,421008,1968.0,,,,,,,,0.0,,
,,401426,2042.0,,,,,,,,0.0,,
,,401566,2042.0,,,,,,,,0.0,,
,,401704,2042.0,,,,,,,,0.0,,
,,402023,2042.0,,,,,,,,0.0,,
,,410364,2042.0,,,,,,,,0.0,,
